coin,network,current,change_1d,pct_1d,change_7d,pct_7d,change_30d,pct_30d
USDT,Manta,2016599.2399147819,0.0,0.0,-262.6847506193444,-0.013024429060156113,-19282.60278524179,-0.9471376177543216
USDT,Movement,281806.86676610535,0.0,0.0,8218.770131175115,3.0040671477538936,-645252.5677753992,-69.60207120857592
USDT,Shiden,9850.615547972342,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Starknet,3576123.566567643,-62422.88751500612,-1.7155995753459243,-27532.13985036593,-0.7640058344456149,-61654.98226250429,-1.6948525435208683
USDT,Tron,92565712763.27406,1.52587890625e-05,1.6484277608840502e-14,355280225.4651489,0.3852928737965456,2111012292.943924,2.3337784349154447
USDT,CORE,2048999.9053195384,0.0,0.0,-6547.281088829273,-0.3185176741317847,-87618.20282559656,-4.10078911582663
USDT,ApeChain,36976.71072450508,0.0,0.0,-40.10963244159211,-0.10835515329199537,-292.05163363237807,-0.7836365233325491
USDT,Peaq,807170.302456547,19978.982471574796,2.5380084821001585,117420.96518286073,17.023715549619897,134840.9968511014,20.055796426971817
USDT,Monad,57460091.60007938,6401077.543843053,12.53662582828747,8046302.296663202,16.2835160186894,-19758752.881564878,-25.587993467399972
USDT,Aptos,551518324.6289498,760.8567283153534,0.00013795693524451194,-79935118.5916388,-12.658909290912632,-424640189.26641846,-43.50115101407951
USDT,Tezos,27254509.666682843,0.0,0.0,0.0,0.0,-14987152.24481773,-35.479551624216235
USDT,PulseChain,4340995.990202726,-30416.375130089,-0.6958020106111236,-88589.69850925822,-1.9999545044362366,-63288.32807908021,-1.4369719006644461
USDT,Kusama,239543.33151174503,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Immutable zkEVM,25544.792121784227,-7.4710854325930995,-0.02923844894679628,-7.4710854325930995,-0.02923844894679628,-27275.794647701685,-51.63856805820022
USDT,Hedera,85070.57025658812,-86.71264875639463,-0.10182646251499,-2394.9393342423864,-2.7381528392689556,-9207.029206027204,-9.765871488569395
USDT,Algorand,840628.5315951637,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Polygon,740775963.6992993,3274535.863470435,0.4440040032301282,-29492442.157306194,-3.828852635401556,-92245471.61587489,-11.073601195024922
USDT,MANTRA,48171.876298999574,0.0,0.0,0.0,0.0,114.71577067528415,0.23870692611493785
USDT,Unichain,6867786.704541522,5880.295325294137,0.08569477597940292,-213523.8078057291,-3.015314854975228,1124714.074633318,19.583838601938336
USDT,Metis,1699073.719105646,0.0,0.0,-4180.157896044664,-0.24542189232548065,-14489.696358347544,-0.8455885686859198
USDT,Wanchain,205099.97693677872,799.31372063866,0.39124382077655095,47791.35376522038,30.380631907953244,135304.0981099648,193.85685857713443
USDT,Kava,50085798.56480504,847.661272123456,0.0016924470461319016,707.720467299223,0.0014130362057219524,-9949275.365231246,-16.572437933242057
USDT,Ink,58630266.3042535,-261123.88585554808,-0.44339908603380945,-711651.9689215049,-1.1992399127468059,-2185850.2566035762,-3.5941957168808267
USDT,Kaia,193736963.06603065,372465.9268080592,0.1926237403032075,5354049.941301703,2.8421101746933757,-34549953.90416449,-15.1344432535638
USDT,Reinetwork,2139.172556949821,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Morph,7222348.107020832,0.0,0.0,9772.141650540754,0.1354875386749435,151987.10318372678,2.1496370991699427
USDT,IoTeX,1142644.9215608626,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Osmosis,604086.6809247732,-543.5150397380348,-0.08989214289422232,380.3553792956518,0.06300337816602841,-57025.55216616427,-8.62569913425279
USDT,Ethereum,73728877480.80919,149183982.29981995,0.20275156800271563,79771984.93766785,0.10831358290174964,-375301007.27368164,-0.5064505334662552
USDT,XDC,40146.91795179076,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Cardano,107684.27112532126,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Linea,7244580.376245536,12183.547141176648,0.168457945948818,-89182.44531929959,-1.2160530342903884,-152979.67971267644,-2.0679748262329025
USDT,EthereumClassic,10673.14770858955,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Waves,233873.05959334914,3115.5577175753715,1.350143632276191,4595.876455018559,2.0045066814370767,26405.46485045366,12.727512883723682
USDT,Soneium,657685.8206028349,0.0,0.0,-4238.32680704724,-0.6403040021476583,-18311.019568735734,-2.7087433669199292
USDT,Vana,329.6087236504974,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Somnia,23222.143599681494,0.0,0.0,-93.43844408445875,-0.4007553571215351,-342.5752977349075,-1.4537635658894574
USDT,Mode,246011.8151559366,0.0,0.0,-2001.3765716177004,-0.8069637577247255,-24256.602824743517,-8.975004555092884
USDT,KCC,8721790.744832423,-9.544401552528143,-0.00010943155353269864,-1866.0721705332398,-0.021390939713448468,-11379.495567193255,-0.13030200092231967
USDT,Vaulta,1714808.2012336839,0.0,0.0,0.0,0.0,0.0,0.0
USDT,EDU Chain,914248.7284300755,0.0,0.0,-3239.5885354839265,-0.3530931648479546,-274085.7102459803,-23.064694695825192
USDT,Berachain,44661553.14559358,982997.2303887233,2.2505259383965437,1036058.1027754098,2.3748913376421856,3321590.3564668745,8.03481699635328
USDT,Bittorrent,331988.28515015665,-5.820766091346741e-11,-1.7533046651673377e-14,-5.820766091346741e-11,-1.7533046651673377e-14,-5.820766091346741e-11,-1.7533046651673377e-14
USDT,Theta,408.6290459287158,0.0,0.0,0.0,0.0,0.0,0.0
USDT,MultiversX,498595.12832450826,2332.8922961844364,0.47009264997776057,1072.649732701946,0.21559824507587816,-52617.29493736633,-9.545738215767402
USDT,Katana,3676396.4446165636,79862.15256873658,2.220530824502829,686040.9202706385,22.941784503054865,-153475.9287763075,-4.007337942709137
USDT,OP Mainnet,253566902.1439705,1406261.4493316114,0.5576847542335379,12382742.901608765,5.134144356954042,60300105.46947226,31.200447519720765
USDT,IOTA EVM,342931.23514012765,0.0,0.0,2.213697350991424,0.0006455263954266454,-1988.7686366108828,-0.5765883726181862
USDT,Statemine,239543.33151174503,0.0,0.0,0.0,0.0,0.0,0.0
USDT,BSC,9176152971.389854,-2340.9620037078857,-2.551135986720668e-05,26678.206300735474,0.0002907349512021567,96950.68205833435,0.0010565615754692837
USDT,Flow,1097.3147112379816,0.0,0.0,0.0,0.0,0.0,0.0
