coin,network,current,change_1d,pct_1d,change_7d,pct_7d,change_30d,pct_30d
USDT,Manta,2017101.3019068989,-228.84052871889435,-0.011343732188654277,-23377.002722079167,-1.1456628903648074,-19292.564237019746,-0.9473886441011445
USDT,Movement,281877.0267235825,-999.391472560179,-0.3532961421574613,1775.6882454949082,0.6339449340524379,-646857.5815974865,-69.64934608895979
USDT,Shiden,9853.06800335748,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Starknet,3639452.323650082,34981.85273105139,0.9705129508837973,34512.2965211547,0.9573611838597279,-30629.83763672551,-0.8345817965553679
USDT,Tron,92588758356.68289,4444670.109924316,0.004800672957376909,356018238.8065491,0.38599985032597595,2015596333.8687592,2.2253792280775824
USDT,CORE,2049524.0885672045,-6210.70877655386,-0.30211624498348705,33751.48738198215,1.6743697856661584,-87625.96202962683,-4.1001314814163825
USDT,ApeChain,36985.91661959858,-40.11961832355155,-0.1083551532919988,-40.11961832355155,-0.1083551532919988,-292.12434417499026,-0.7836365233325265
USDT,Peaq,787387.3028230426,-7449.157188243931,-0.9371936949316787,81837.48870152188,11.59910853401863,110828.07675857178,16.381134494795983
USDT,Monad,58607297.147797994,8865469.656648941,17.822967317046086,8692303.728924915,17.414213913605998,-31252131.44604253,-34.77891183495098
USDT,Aptos,551654760.6242008,-194.6125556230545,-3.5277949336924143e-05,-79957013.86368,-12.659202550254895,-424746571.938481,-43.50122821152681
USDT,Tezos,27261295.077064138,0.0,0.0,0.0,0.0,-14990883.516437422,-35.47955162421622
USDT,PulseChain,4372461.290344594,-17143.58793114405,-0.390549682865264,-99030.94299964607,-2.214717991930416,-70836.14186488185,-1.5942246258688526
USDT,Kusama,239602.96934153128,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Immutable zkEVM,25558.624818346583,0.0,0.0,0.0,0.0,-27280.427140658376,-51.62928956754149
USDT,Hedera,85178.48406135633,0.0,0.0,-2308.8013524128764,-2.639013590938901,-9127.584148508191,-9.67868168164542
USDT,Algorand,840837.8184117258,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Polygon,738192054.8062516,-216598.10153770447,-0.029333093631116035,-30711336.30284214,-3.9941736059380633,-92956836.3354187,-11.184137682928592
USDT,MANTRA,48183.869394950416,0.0,0.0,0.0,0.0,114.74433085085911,0.23870692611494185
USDT,Unichain,6855156.256786006,-95671.47633250616,-1.3764040774116961,-223023.65192881878,-3.1508615887853706,1105473.342876942,19.22668361767725
USDT,Wanchain,204351.52686615783,-2350.0077423824696,-1.1369087059914718,47157.235851596575,29.99933111262183,52436.550636211905,34.517038370753774
USDT,Metis,1699496.7284568765,0.0,0.0,-4181.198607733473,-0.24542189232547978,-14493.253811474657,-0.8455856779450837
USDT,Kava,50097420.28749776,0.0,0.0,30604.41108942032,0.06112713691433536,-9957047.278144725,-16.580027567909386
USDT,Ink,58856167.76939482,-754808.984034799,-1.2662248215742788,-3342452.792652875,-5.373837494223096,-3560365.1046375707,-5.704201980944724
USDT,Kaia,193412638.07011104,-14150.244375228882,-0.007315555667616454,4982837.374985188,2.644399854271077,-34931114.280183315,-15.297600184215545
USDT,Reinetwork,2139.705135369056,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Morph,7224146.216633592,-209.34054136276245,-0.002897705403700035,9598.767484721728,0.13304739559033787,152029.97831570264,2.149709834971026
USDT,Osmosis,604780.7275300656,-2915.146883415291,-0.4797048994661766,-35380.78576860472,-5.526852994690678,-52085.97398492473,-7.929458726526127
USDT,IoTeX,1142929.399792455,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Ethereum,73580134048.61479,45960817.67430115,0.06250266461820028,162011847.67999268,0.22067010544970034,-515040413.0541687,-0.6951065528843721
USDT,XDC,40156.913116524185,0.0,0.0,0.0,0.0,-0.22682775543944445,-0.0005648503746884893
USDT,Cardano,107711.08070583224,0.0,0.0,0.0,0.0,8479.203894379883,8.544838782492219
USDT,Linea,7234197.440494034,-107347.67390033044,-1.4621945684139,-101391.22901273798,-1.3821825838492017,-209690.69500898756,-2.816951184541379
USDT,EthereumClassic,10675.804945433973,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Waves,230814.9523442628,555.2045008911227,0.24112095409258696,5115.291573729919,2.2664152689757904,24095.800829686224,11.65629824481315
USDT,Soneium,657849.5611452011,-2600.955897181644,-0.393815407826342,-5036.913062028121,-0.7598455026634772,-17306.193555005826,-2.563289053603696
USDT,Vana,329.6907845821588,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Somnia,23227.92509331995,-54.75737805810786,-0.23518500553113836,-93.46170695714318,-0.40075535712152716,-448.40693872858174,-1.8939037437117092
