coin,network,current,change_1d,pct_1d,change_7d,pct_7d,change_30d,pct_30d
USDT,Manta,2018271.2172582631,0.0,0.0,-23201.634257807862,-1.1365144650626873,-19536.333351061912,-0.9586937365709706
USDT,Movement,285775.5738285661,11996.306110793026,4.381743807993338,-137255.51366042468,-32.445727446448416,-653718.9598530256,-69.58198652751081
USDT,Shiden,9857.49871600537,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Starknet,3606173.779287634,0.0,0.0,9658.751364736352,0.26855862660789687,-106349.6204432766,-2.8646181853287436
USDT,Tron,92698935199.44278,424070149.9329529,0.45957276632744914,430137283.8963165,0.46617848461624134,2001897251.9339142,2.2072355362834637
USDT,CORE,2056694.6841629397,-288.8263629376888,-0.014041258058692413,37327.79254170763,1.8484898755440782,-81416.39682121784,-3.807865622385833
USDT,ApeChain,37042.686049636075,0.0,0.0,0.0,0.0,-413.3572629847258,-1.103579626749965
USDT,Peaq,753526.0097172366,63294.70656375284,9.17007186932498,57600.54098327609,8.27682612163397,87612.82574068825,13.156793985891971
USDT,Monad,48665734.62986352,-782582.8117454126,-1.5826277864146254,-6593280.501135491,-11.931592493107637,-33545024.895637713,-40.8036917421159
USDT,Aptos,571899024.7287046,-59995649.8173331,-9.494564875140759,-59997691.63341808,-9.494857320802257,-404942606.8200443,-41.45427403396205
USDT,Tezos,27273553.894810513,0.0,0.0,0.0,0.0,-14997624.594158262,-35.47955162421623
USDT,PulseChain,4407490.269392371,-25190.614991763607,-0.5682929957919478,-64283.15317503363,-1.43753153616013,-36083.99426394515,-0.8120488625355857
USDT,Kusama,239710.71364070507,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Immutable zkEVM,25570.11798191825,0.0,0.0,0.0,0.0,-27292.694561682038,-51.62928956754149
USDT,Hedera,85216.78699263927,-2309.8395706967713,-2.639013590938895,-3400.5465060583665,-3.837337879398439,-6807.563170709371,-7.397567229353476
USDT,Algorand,841215.9250842456,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Polygon,737885848.1995596,-32920786.64814031,-4.270952682529124,-39173652.527697206,-5.041268074199498,-84618590.301229,-10.287918987460621
USDT,MANTRA,48205.536644123946,0.0,0.0,29.99198770923249,0.06225562766987621,114.79592890719505,0.23870692611493008
USDT,Unichain,6943362.940264811,-142895.67404755764,-2.0165179091678387,1310448.279557339,23.264124498430654,1176918.5803594943,20.409779526231638
USDT,Wanchain,207410.55870166692,49992.01532450711,31.757386551806043,100137.59612168804,93.34840179045958,-37841.92613679587,-15.429782969057667
USDT,Metis,1704444.0343660924,0.0,0.0,-943.7884380393662,-0.05534157248100409,-10316.692313055974,-0.6016403427337386
USDT,Kava,50119948.01932899,-140.03858917206526,-0.00027940611159788545,31563.15170547366,0.06301491211763083,-9956438.329198703,-16.572964744312902
USDT,Ink,59757749.6877096,374365.9454085976,0.6304220504395454,-2367734.332379408,-3.811212692707188,-796351.3472674713,-1.3151072076976014
USDT,Kaia,193513768.1787411,4999221.5292568505,2.6519022633050096,4999214.776358426,2.651898586146633,-34976623.181583226,-15.30769980013114
USDT,Reinetwork,2140.66731472302,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Morph,7227614.192807471,9998.40306490101,0.13852778197352092,8842.521180218086,0.12249343215789518,152330.3828981435,2.152993250741353
USDT,IoTeX,1143443.350548258,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Osmosis,609695.5607650067,5567.39233457495,0.9215581437030878,-34985.9359517378,-5.426855917211111,-72510.37601909623,-10.6288104675412
USDT,Ethereum,73504889981.24425,-195678204.05430603,-0.2655043358177787,102304446.18788147,0.13937444497649454,-527012056.3045502,-0.7118715605027289
USDT,Linea,7338887.325873157,0.0,0.0,108325.72125539836,1.4981646956194483,-191300.69595609233,-2.540450456237362
