coin,network,current,change_1d,pct_1d,change_7d,pct_7d,change_30d,pct_30d
USDT,Manta,2018173.1527498276,-22.638214129954576,-0.001121705546672546,-251.6029128418304,-0.01246531049205382,-19320.5071261751,-0.9482486992058127
USDT,Movement,283029.9077567488,999.9331763117225,0.3545485467632569,-0.0005709618562832475,-2.0173198643803758e-07,-553404.5368204105,-66.16233231525655
USDT,Shiden,9858.414326369584,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Starknet,3580795.549819693,80.07434877939522,0.0022362667273602443,-25630.724451000337,-0.7106959217177811,-62165.91014098562,-1.7064663138559977
USDT,Tron,92518801604.43434,0.0,0.0,-115748784.72241211,-0.12495206619576897,1043097812.6917877,1.1403003961210818
USDT,CORE,2047703.9806481143,-511.24765726272017,-0.0249606413524085,-9146.26847676211,-0.4446735235418112,-70164.57916070102,-3.3129808191229264
USDT,ApeChain,37005.98535931292,0.0,0.0,-40.14138742517389,-0.10835515329199247,-231.9174183870564,-0.6227993551933885
USDT,Peaq,925673.7855947384,94153.96635924012,11.32311752302014,130406.04342285276,16.397753424112526,251808.28955485695,37.36773748391387
USDT,Monad,52126550.66134794,-1744643.1832387373,-3.23854560987059,2357733.0106983706,4.737369947681684,-13833655.554973722,-20.97272939021016
USDT,Aptos,551643074.7116715,-312305.94004261494,-0.056581736674776825,-311211.20877850056,-0.05638351159091347,-425288899.26466405,-43.53311290791736
USDT,Tezos,27276087.189445842,0.0,0.0,0.0,0.0,-14999017.643339667,-35.479551624216235
USDT,PulseChain,4353030.605376506,2260.7711238395423,0.05196255398391755,-38956.09403015021,-0.886981147629911,-267077.7347140247,-5.78076778841925
USDT,Kusama,239732.97908756396,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Immutable zkEVM,25565.016053171177,0.0,0.0,-7.477000325870904,-0.029238448946800756,-4199.102637722426,-14.107935401450844
USDT,Hedera,84812.9783652239,-225.3134367189632,-0.26495527126030005,-411.72395924785815,-0.48310401564128913,-9317.712215493506,-9.898697394027439
USDT,Algorand,841294.0611349557,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Polygon,738273767.8946896,-809359.8673331738,-0.10950863805861083,-535549.168876648,-0.07248814497971064,-67271510.51286018,-8.35105267401561
USDT,MANTRA,48210.01419874865,0.0,0.0,0.0,0.0,114.80659168741113,0.23870692611493266
USDT,Unichain,6827562.846931886,-47588.100923064165,-0.6921753614429611,-127036.43939726893,-1.826653616794111,1150357.926518377,20.262751523765477
USDT,Metis,1700418.8837150405,0.0,0.0,0.0,0.0,-15967.80806786404,-0.9303153039061032
USDT,Wanchain,251672.86579697666,18412.381312546844,7.893484982354941,44859.17392221856,21.690620923388526,101526.20200934104,67.61802057282979
USDT,Kava,50127689.637680165,4117.356731645763,0.008214411990764533,3086.2442869767547,0.006157144551858031,-9957035.857501723,-16.571659062169076
USDT,Ink,61869240.72950006,2991961.5527567044,5.081691264596573,2225918.767787881,3.732050285892529,1742667.1613006443,2.898331067084672
USDT,Kaia,193873330.16988644,0.0,0.0,341587.5316128433,0.17650206987041805,-34591367.71180481,-15.140793318413548
USDT,Reinetwork,2140.8661498673264,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Morph,7273002.377610349,41997.194405026734,0.5807933107636142,44726.849686203524,0.6187762145122382,62098.14246477559,0.8611699786846769
USDT,IoTeX,1143549.5588890163,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Osmosis,598788.5359335304,-2790.153549188981,-0.46380525074585927,-9237.077241179999,-1.5191921262905437,-61024.08031836513,-9.248698617649358
USDT,Ethereum,73747996444.49506,54878841.25794983,0.07446942542642432,173923210.5923767,0.23639198286528126,231768173.98129272,0.31526124154311574
USDT,Cardano,107769.52526637318,0.0,0.0,0.0,0.0,0.0,0.0
USDT,XDC,40178.7024544864,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Linea,7211591.500621891,7095.526722047478,0.09848748264629288,-133937.1721500391,-1.8233836952609186,-108676.72929780278,-1.4846003709756823
USDT,Waves,243157.10754738006,-4178.612103067047,-1.6894495097483562,12772.419635774131,5.543953355387341,24547.3349939177,11.228836985279099
USDT,EthereumClassic,10681.597689545051,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Soneium,652984.8133153614,-4384.177068539895,-0.66692787957332,-7824.067416018108,-1.1840136602520346,-11041.54707079241,-1.6628175821772162
USDT,Vana,329.8696764184772,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Somnia,23219.976501835357,-39.626972802561795,-0.17036822164991214,-75.33926721585522,-0.32340951272249563,-327.3840115308776,-1.3903214814460585
USDT,Mode,246206.5838605075,0.0,0.0,-955.0255934026209,-0.38639722225174733,-24875.16234282116,-9.176258708383559
USDT,KCC,8728420.753540011,-266.1821036860347,-0.0030495091145848856,-536.0160838346928,-0.006140666038122574,-9657.24683235772,-0.11051911910086155
USDT,Vaulta,1716165.8229061638,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Berachain,44507193.298142895,-179439.77989575267,-0.4015513533597114,860966.8461630493,1.9726031690512729,3263498.9073115736,7.912722067005388
USDT,EDU Chain,914972.5434239978,0.0,0.0,0.0,0.0,-274344.7045448463,-23.067411576968333
USDT,Bittorrent,332251.12182810414,0.0,0.0,5.820766091346741e-11,1.751917663759828e-14,0.0,0.0
USDT,Theta,408.9525594553939,0.0,0.0,0.0,0.0,0.0,0.0
USDT,MultiversX,498989.86841935926,0.0,0.0,32451.219191632757,6.955740804186342,-55838.09893414803,-10.064038264057249
USDT,Katana,3185334.2732677683,-36726.39542879164,-1.1398418343143364,92658.70267195208,2.9960692790709054,-239350.27350507164,-6.988972859722714
USDT,OP Mainnet,311052197.2819481,5488153.691535175,1.7960731331634223,61262522.208513826,24.525642299067645,109744694.22555488,54.5159482678654
USDT,IOTA EVM,343199.2428731579,0.0,0.0,-6.276745536655653,-0.0018288591464464769,-1384.8763792680693,-0.40189791168338046
USDT,Statemine,239732.97908756396,0.0,0.0,0.0,0.0,0.0,0.0
USDT,BSC,9183417843.536392,-2.0000228881835938,-2.1778633204147426e-08,-32713.996646881104,-0.0003562277211809708,100275.51040840149,0.001091931207492331
USDT,Flow,1098.183460426629,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Astar,228483.94887048722,0.0,0.0,0.0,0.0,43321.651606996544,23.39658356330972
USDT,Oasis Emerald,328062.6811543549,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Data Network,3249.797119057785,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Citrea,3342.2802605801644,0.0,0.0,-3165.25302498352,-48.639828427851754,-4228.44133707131,-55.852553584628204
USDT,Avalanche,391964092.1731377,0.0,0.0,99995906.07447845,34.24890479015708,24400957.94531083,6.638575981394905
USDT,Telos,203172.4809811603,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Arbitrum,834407583.0735159,6502886.779324055,0.7854632071096848,17692644.172183275,2.166318176570139,-19345197.304721236,-2.2659015290293705
USDT,Stacks,389716.52849703585,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Redbelly,671612.2660830799,-45.14698291057721,-0.0067217277785247215,-495.09691358730197,-0.07366336702217575,-10191.768902898766,-1.4948237880563966
USDT,Viction,17750.73182436072,0.0,0.0,-105.0366975914003,-0.5882507799217199,-223.1652052813006,-1.2416072313826163
USDT,GOAT,28599.795346473325,0.0,0.0,0.0,0.0,-111.39555664058935,-0.3879865416119252
USDT,Zircuit,120524.76361354109,0.0,0.0,-2151.006806185993,-1.7534080273769341,-3766.728337498731,-3.030560079673433
USDT,Sui,7937662.929145679,-679348.7649701424,-7.883809249487729,-446565.2103833668,-5.326253090346501,-1625686.2588104028,-16.999131024701725
USDT,Arbitrum Nova,18.842266806092905,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Plasma,852745968.8913221,105063238.08577657,14.051847629619923,216932201.9407555,34.118827432942574,94181320.38529706,12.415727594317099
USDT,Rootstock,2892272.061705363,-68657.3425615402,-2.318776748361519,28227.44661685219,0.985579849843919,-121493.98325338168,-4.031301084455771
USDT,Abstract,849924.9948255903,635.9372344885487,0.07487877405277094,22620.768362809205,2.7342744832244454,-307036.083161363,-26.53815145584572
USDT,TON,650744556.4525919,0.0,0.0,29997995.28935218,4.832567293347197,64995656.46026325,11.096163639592747
USDT,ZKsync Era,2422715.9845001837,-3333.698792063631,-0.13741263482863497,24664.36901075067,1.028517019877271,119880.9817212969,5.20579987609332
USDT,Aurora,1401832.899609157,3994.8023377340287,0.28578433693657906,54528.0025652491,4.047191002191694,74669.93435613043,5.626282251019147
USDT,Gravity by Galxe,163942.2370959386,-30.5097390904848,-0.01860659144850471,-38500.18013903414,-19.01784253758806,-38750.55694981411,-19.117875962115935
USDT,Sei,1952354.9166900404,-210392.8759324951,-9.728035633659065,-302989.6417865702,-13.43429502369371,-282650.94553309446,-12.646541573360565
USDT,Injective,4370951.249593935,28160.68721425906,0.6484468180023889,44359.56900989264,1.0252774535891631,-371050.8846693523,-7.824772620584204
USDT,LightLink,2772.9413764467695,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Scroll,4201576.1554898005,0.0,0.0,17320.978191001806,0.41395606761687975,17016.939312359318,0.40666025818375556
