coin,network,current,change_1d,pct_1d,change_7d,pct_7d,change_30d,pct_30d
USDT,Manta,2018017.581965423,-23121.740489626303,-1.132786000213638,-23198.718518213835,-1.1365144650626802,-22709.034919892205,-1.1127916268643645
USDT,Movement,280191.97800501325,-134916.96372501767,-32.50157974500147,-140786.81794602604,-33.442733767142,-651256.0379737888,-69.91866715067545
USDT,Shiden,9856.259928298283,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Starknet,3605481.661146367,-454.4571828022599,-0.012603029224290173,18934.36583179189,0.5279273984906746,-62519.96141455788,-1.7044692954881437
USDT,Tron,92262619134.58875,1162768.1175231934,0.001260296729876633,504162713.6279907,0.5494455043086609,2412761617.8028107,2.6853260366629446
USDT,CORE,2015099.08368023,-3219.646874018479,-0.1595212304814877,-65469.804635139415,-3.1467261191312983,-122743.3017859452,-5.7414570232304545
USDT,ApeChain,37038.03091089979,0.0,0.0,0.0,0.0,-544.2488800554274,-1.4481529143061984
USDT,Peaq,645946.99542441,-46243.303963777726,-6.680721183849469,-43120.74351791758,-6.257838102260456,-31117.843783134245,-4.595991695500751
USDT,Monad,49894865.79242099,-4938705.310680531,-9.00671835032314,-4012667.625075087,-7.443611997600222,-15580667.311979197,-23.79616716848407
USDT,Aptos,631815450.5667148,-2665.4175506830215,-0.0004218646922668169,-99973706.14037919,-13.661545162850054,-314912263.28232586,-33.26323489591431
USDT,Tezos,27270126.438792832,0.0,0.0,-14995739.84899947,-35.47955162421622,-14995739.84899947,-35.47955162421622
USDT,PulseChain,4433775.542190786,-22913.144906908274,-0.5141293573689096,-45688.93529815599,-1.0199642284867025,40823.28158175852,0.9292903532736976
USDT,Kusama,239680.58929639927,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Immutable zkEVM,25566.904595973465,0.0,0.0,0.0,0.0,-27289.264700264815,-51.629289567541484
USDT,Hedera,87515.62712908267,0.0,0.0,-91.08196997757477,-0.10396688896804115,-3122.5651545161672,-3.4450876345215917
USDT,Algorand,841110.2098336508,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Polygon,770237288.7789626,-6819407.34723568,-0.8775945669385455,8961157.27158904,1.1771231095667478,-56967650.43383145,-6.886763815511602
USDT,MANTRA,48199.47867466043,29.98821862879413,0.06225562766989805,29.98821862879413,0.06225562766989805,114.90630892842455,0.2389671016608932
USDT,Unichain,7085980.53099888,5646.051237854175,0.07974271913273707,1468921.3941372195,26.151075827161918,1244099.2125477726,21.296208271441365
USDT,Wanchain,157398.76065519135,153.54617416561814,0.09764759752618485,51163.06188651227,48.15995233195229,-67073.21892247681,-29.88044166967807
USDT,Metis,1704229.8376029965,0.0,0.0,-943.6698325444013,-0.055341572481008884,-10315.395818683086,-0.6016403427337336
USDT,Kava,50101461.006435886,11467.766342952847,0.02289432599438612,-9985502.542343505,-16.618417627705785,-9954833.143803135,-16.575836529140076
USDT,Ink,61483055.62400789,-1126485.2871993035,-1.7992230430133391,-1028678.8201716766,-1.6455771533426973,-378003.7342089787,-0.6110527982071637
USDT,Kaia,188490842.97964317,0.0,0.0,96582.8017026186,0.05126631862955646,10014872.104856908,5.611327987610759
USDT,Reinetwork,2140.3982979642215,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Morph,7216708.755009683,-1225.55243035499,-0.016979268280285207,-11323.243298356421,-0.15665734879157983,142314.09603249747,2.0116787780832293
USDT,IoTeX,1143299.6545045436,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Osmosis,617446.0737516864,-16804.60385796032,-2.6495208363502627,-22071.264443188556,-3.45123785157846,-75154.60317971115,-10.851072729626463
USDT,Ethereum,73434251861.8024,19140652.86793518,0.026071816214324285,-273359564.9668274,-0.3708701987153912,-1504722913.4934235,-2.007931010539347
USDT,Cardano,107745.97396799065,0.0,0.0,0.0,0.0,47247.635343032656,78.09740964281804
USDT,XDC,40169.922044553365,0.0,0.0,0.0,0.0,6.633254706837761,0.016515715985177686
USDT,Linea,7337965.05099746,1514.8733250936493,0.02064858737409531,29622.87708920054,0.4053296408993834,-183861.73055320606,-2.4443760258369305
USDT,Waves,231232.60732612043,15124.487683218002,6.99857446735909,18653.654956542538,8.774930325233862,13251.659321248328,6.079274102868907
USDT,EthereumClassic,10679.263397974528,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Soneium,663101.2178656736,0.0,0.0,1401.150083489134,0.2117500287079249,-10928.94962441735,-1.6214333054429673
USDT,Vana,329.7975887001962,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Somnia,23328.941819298234,0.0,0.0,-71.46444629875623,-0.30539831440372234,-399.9402142789186,-1.6854574678781324
USDT,Mode,268971.44145563757,-978.9722823615884,-0.36264892829974754,-1847.468488297949,-0.6821785408856453,-34600.305235442764,-11.397735663013664
USDT,KCC,8728655.452536782,0.0,0.0,0.0,0.0,-9518.874566648155,-0.10893436329283573
USDT,Vaulta,1715790.7824365203,0.0,0.0,0.0,0.0,0.0,0.0
USDT,EDU Chain,918014.0356864191,0.0,0.0,0.0,0.0,-281885.20939335274,-23.49240659573983
