date,usdt,usdc,total,flow,growth
2026-08-13,183147832499.0,72215654781.0,255363487280.0,7894019.0,0.003091382843504622
2026-08-14,183125703998.0,72125254565.0,255250958563.0,-112528717.0,-0.04406609503911377
2026-08-15,183207603991.0,72045975898.0,255253579889.0,2621326.0,0.0010269602961561514
2026-08-16,183124065071.0,72017026845.0,255141091916.0,-112487973.0,-0.04406910690495182
2026-08-17,183124065071.0,71985815879.0,255109880950.0,-31210966.0,-0.012232826067184652
2026-08-18,183097065066.0,72017951715.0,255115016781.0,5135831.0,0.0020131838801675395
2026-08-19,183056965049.0,71980780550.0,255037745599.0,-77271182.0,-0.030288762682414885
2026-08-20,183069204367.0,72489599879.0,255558804246.0,521058647.0,0.20430648246839078
2026-08-21,183074599308.0,73348692395.0,256423291703.0,864487457.0,0.33827340034344794
2026-08-22,183174913325.0,73598295654.0,256773208979.0,349917276.0,0.1364608002947285
2026-08-23,183226913311.0,73613915512.0,256840828823.0,67619844.0,0.026334462333073946
2026-08-24,183226913301.0,73670382861.0,256897296162.0,56467339.0,0.021985343708306616
2026-08-25,183132163298.0,73884875090.0,257017038388.0,119742226.0,0.04661093276921462
2026-08-26,183190163297.0,73888074239.0,257078237536.0,61199148.0,0.023811319429964048
2026-08-27,183332350535.0,74021589570.0,257353940105.0,275702569.0,0.10724461613029067
2026-08-28,183320988878.0,73945073006.0,257266061884.0,-87878221.0,-0.03414683333161553
2026-08-29,183380798491.0,74195874189.0,257576672680.0,310610796.0,0.12073523951249072
2026-08-30,183380798390.0,74056759813.0,257437558203.0,-139114477.0,-0.05400895801337905
2026-08-31,183495688127.0,74065359806.0,257561047933.0,123489730.0,0.04796880877133838
2026-09-01,183348170617.0,73701904835.0,257050075452.0,-510972481.0,-0.19838888104420221
2026-09-02,183348870617.0,73704079032.0,257052949649.0,2874197.0,0.0011181467248924074
2026-09-03,183353669043.0,73903607979.0,257257277022.0,204327373.0,0.07948843741299387
2026-09-04,183349918194.0,74501454556.0,257851372750.0,594095728.0,0.23093446952297267
2026-09-05,183361716342.0,74745667958.0,258107384300.0,256011550.0,0.099286479365854
2026-09-06,183380072603.0,74721149874.0,258101222477.0,-6161823.0,-0.0023873098465242164
2026-09-07,183380072592.0,74714297757.0,258094370349.0,-6852128.0,-0.0026548219858240343
2026-09-08,183407913663.0,74533399954.0,257941313617.0,-153056732.0,-0.05930262321996169
2026-09-09,183429526760.0,74650368141.0,258079894901.0,138581284.0,0.05372589681611461
2026-09-10,183430176663.0,74545695863.0,257975872526.0,-104022375.0,-0.040306268351474335
2026-09-11,183517372469.19104,74359078092.87523,257876450562.06628,-99421963.93371582,-0.03853924902364488
