coin,network,current,change_1d,pct_1d,change_7d,pct_7d,change_30d,pct_30d
USDT,Manta,2040878.0518241106,0.0,0.0,0.0,0.0,-512470.7354313382,-20.070533958746164
USDT,ThunderCore,272125.4010669794,0.0,0.0,0.0,0.0,-4245.783115148195,-1.5362611437631788
USDT,Movement,422907.8339466567,1998.7981250978773,0.4748765065583559,-339582.7905137819,-44.53599554146399,-663348.1748052682,-61.06738830079615
USDT,Shiden,9854.626653712,0.0,0.0,0.0,0.0,-15466.760053862028,-61.08180500728926
USDT,Starknet,3585397.2431513635,-555.7276838901453,-0.015497350032471371,-56103.71167884348,-1.5406754625294183,-124272.70474197529,-3.3499666139449347
USDT,Tron,91677164510.17554,-66086675.12388611,-0.07203437230538826,-155404035.3698883,-0.169225404266912,2102915820.291504,2.3476789937385143
USDT,CORE,2073577.6046586817,-6646.513904771535,-0.31950951080028045,-39864.12383652595,-1.886218261854308,-76384.5393949796,-3.552831830376317
USDT,ApeChain,37031.89336227051,0.0,0.0,-130.8495955372855,-0.35209886333160006,-474.45254693091556,-1.2649927243765922
USDT,Peaq,679455.9993183336,-9497.554645672557,-1.3785478848358985,-60577.21222093073,-8.185742379714354,22939.688915098668,3.4941536945226876
USDT,Monad,56130084.90430269,2231484.470005162,4.1401529019762675,4127716.5631196797,7.9375549514170025,-51852846.19772489,-48.01948388373694
USDT,Aptos,731668451.7645348,559.3748253583908,7.645201206402673e-05,1254.3791383504868,0.00017144121573756414,-154930850.3996923,-17.474731823214775
USDT,Tezos,42258842.44689597,-19.99097990244627,-4.730600576822131e-05,-19.99097990244627,-4.730600576822131e-05,-19.99097990244627,-4.730600576822131e-05
USDT,PulseChain,4470811.049126263,-7911.139142989181,-0.17663830910767755,10367.546512861736,0.2324330866826881,79344.16002070345,1.8067803315912974
USDT,Kusama,239640.87197784524,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Immutable zkEVM,25562.667920415966,0.0,0.0,-4190.015185117722,-14.082814549046244,-33324.01764068083,-56.590071801725216
USDT,Hedera,87592.19184681645,0.0,0.0,-3322.484140585104,-3.6545080367943186,-10058.822451811982,-10.300786452715078
USDT,Algorand,840970.8299938354,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Polygon,757153649.2860919,-3996331.6359906197,-0.5250386567899968,-52578480.82691038,-6.4933178358098225,-84596875.42325401,-10.050112585610217
USDT,MANTRA,48161.508320295725,0.0,0.0,84.77923288109014,0.17634151592747055,84.90401857670804,0.17660152960027634
USDT,Unichain,5603026.7900837995,-13101.5474681193,-0.2332843318504059,-36827.04031472746,-0.6529786306913058,-284322.93331553973,-4.829387528746508
USDT,Metis,1704890.9442142826,0.0,0.0,0.0,0.0,-2545.082335964311,-0.14905872292659003
USDT,Wanchain,106218.09451836332,0.0,0.0,-43870.881856851964,-29.229916091356937,-111693.00579931353,-51.256225881327
USDT,Kava,60076987.50658136,-19.069548651576042,-3.174184224277382e-05,4538.106146484613,0.007554388395642415,32107.815413579345,0.053473028139487136
USDT,Ink,61863555.10360654,-637820.5606752783,-1.0204904354445739,231138.21203912795,0.3750270128880058,946721.3463904709,1.5541210663765408
USDT,Kaia,188477762.7979257,114721.31344383955,0.060904364539734177,84108.54259932041,0.04464510385542481,10032019.668702185,5.621887915497868
USDT,Reinetwork,2140.0436139187495,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Morph,7218918.336965482,-7915.9087409051135,-0.10953494257334212,-17852.98705372028,-0.2466982339826786,140560.8057617303,1.9857827913056323
USDT,IoTeX,1143110.1990433652,0.0,0.0,0.0,0.0,0.0,0.0
USDT,Osmosis,639199.2660045802,-212.0981774784159,-0.03317084890252678,-8464.332998164813,-1.3069026900999168,-54891.39471268398,-7.908389756456301
