date,usdt,usdc,total,flow,growth
2026-08-02,183410513830.0,72075054215.0,255485568045.0,-79414854.0,-0.031074231336061
2026-08-03,183389013965.0,71979940196.0,255368954161.0,-116613884.0,-0.04564402008784316
2026-08-04,183213347594.0,72255574271.0,255468921865.0,99967704.0,0.03914638109727869
2026-08-05,183223939641.0,72298390550.0,255522330191.0,53408326.0,0.020905997336232975
2026-08-06,183523746636.0,71846102476.0,255369849112.0,-152481079.0,-0.05967426756245614
2026-08-07,183475699331.0,72008852187.0,255484551518.0,114702406.0,0.04491618975335411
2026-08-08,183215274331.0,72288929105.0,255504203436.0,19651918.0,0.007692018121344389
2026-08-09,183215274329.0,72287963067.0,255503237396.0,-966040.0,-0.0003780916270686633
2026-08-10,183215271475.0,72353218703.0,255568490178.0,65252782.0,0.02553892571578882
2026-08-11,182132111450.0,72342478183.0,254474589633.0,-1093900545.0,-0.42802637533215193
2026-08-12,183147832500.0,72251750509.0,255399583009.0,924993376.0,0.3634914501027445
2026-08-13,183147832499.0,72180634447.0,255328466946.0,-71116063.0,-0.027845019229140223
2026-08-14,183125703998.0,72125254565.0,255250958563.0,-77508383.0,-0.03035634213728014
2026-08-15,183207603991.0,72046715526.0,255254319517.0,3360954.0,0.0013167253196310574
2026-08-16,183124065071.0,71970309163.0,255094374234.0,-159945283.0,-0.06266114646077424
2026-08-17,183124065071.0,71985815879.0,255109880950.0,15506716.0,0.0060788153586545084
2026-08-18,183097065066.0,71989616973.0,255086682039.0,-23198911.0,-0.009093693632567233
2026-08-19,183056965049.0,71980780550.0,255037745599.0,-48936440.0,-0.01918423949413327
2026-08-20,183069204367.0,72489599879.0,255558804246.0,521058647.0,0.20430648246839078
2026-08-21,183074599308.0,72923214292.0,255997813600.0,439009354.0,0.1717840851913719
2026-08-22,183174913325.0,73676873455.0,256851786780.0,853973180.0,0.33358612247147723
2026-08-23,183226913311.0,73613915512.0,256840828823.0,-10957957.0,-0.004266256870303871
2026-08-24,183226913301.0,73660219065.0,256887132366.0,46303543.0,0.018028108386112456
2026-08-25,183132163298.0,73884875090.0,257017038388.0,129906022.0,0.05056929897715405
2026-08-26,183190163297.0,73888074239.0,257078237536.0,61199148.0,0.023811319429964048
2026-08-27,183332350535.0,73926047098.0,257258397633.0,180160097.0,0.0700798709088595
2026-08-28,183320988878.0,73899184517.0,257220173395.0,-38224238.0,-0.014858305249389752
2026-08-29,183380798491.0,74234077011.0,257614875502.0,394702107.0,0.15344912562276986
2026-08-30,183380798390.0,74179363560.0,257560161950.0,-54713552.0,-0.021238506469544
2026-08-31,183495688127.48013,73944741205.07825,257440429332.55838,-119732617.44161987,-0.0464872426446383
